#Thread	Original Vehicle	Seats	Cars	Bikes	Bicycles	Quadbikes	Planes	Helicopters	Blimps	Boats	Submarines	Submarine Cars	Trains	Trailers	Flags	Alternate Coordinates			Alt Coord Notes
#																X	Y	Z	
triathlonsp	Tribike	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
triathlonsp	Tribike2	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
triathlonsp	Tribike3	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
me_amanda1	Police	4	Y	N	N	N	N	N	N	N	N	N	N	N					
mission_triggerer_b	Submersible	1	N	N	N	N	N	N	N	Y	Y	N	N	N					
mission_triggerer_b	Towtruck	1	N	N	N	N	N	N	N	N	N	N	N	N	x=-413+y=-2182+z=9				
mission_triggerer_b	Speedo	4	Y	Y	N	Y	Y	N	N	N	N	Y	N	N	w=15.0+l=15.0+h=15				
mission_triggerer_b	Cargobob	1	N	N	N	N	N	N	N	N	N	N	N	N					
mission_triggerer_b	Trash	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N	x=1380+y=-2072+z=51				
mission_triggerer_b	Towtruck	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	x=1377+y=-2076+z=51				
mission_triggerer_b	Trash	2	N	N	N	N	N	N	N	N	N	N	N	N					
franklin1	Seashark	1	N	N	N	N	N	N	N	Y	N	Y	N	N	w=5.0+l=5.0+h=5+x=-120+y=-1868+z=-0+no_rotors+invincible 	-8	-2	3	
franklin1	Seashark	1	N	N	N	N	N	N	N	Y	N	Y	N	N	w=5.0+l=5.0+h=5+x=-124+y=-1864+z=-0+no_rotors+invincible 	0	0	0	
franklin1	Seashark	1	N	N	N	N	N	N	N	Y	N	Y	N	N	w=5.0+l=5.0+h=5+x=-127+y=-1861+z=-0+no_rotors+invincible 	3	7	3	
mission_triggerer_c	F620	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N	w=10.0+l=20.0+h=20+x=117+y=-414+z=40				
mission_triggerer_c	Adder	2	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=10.0+l=20.0+h=20+x=119+y=-398+z=40				
mission_triggerer_c	Felon	2	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=10.0+l=20.0+h=20+x=110+y=-401+z=40				
mission_triggerer_c	Barracks	2	N	N	N	N	N	N	N	N	N	N	N	N					
mission_triggerer_c	Crusader	4	Y	Y	N	Y	Y	Y	N	N	N	Y	N	N	w=20.0+l=20.0+h=20.0				
mission_triggerer_c	Dinghy	4	N	N	N	N	N	N	N	Y	Y	N	N	N					
mission_triggerer_d	Baller2	1	Y	Y	Y	Y	Y	Y	N	N	N	Y	N	N					
mission_triggerer_d	Fugitive	2	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
mission_triggerer_d	Packer	1	Y	N	N	N	N	N	N	N	N	N	N	N	can_attach=Armytrailer2				
mission_triggerer_d	Armytrailer2	0	N	N	N	N	N	N	N	N	N	N	N	N					
mission_triggerer_d	Policet	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
mission_triggerer_d	Gauntlet	1	N	N	N	N	N	N	N	N	N	N	N	N					
mission_triggerer_a	Baller	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=5.0+l=5.0+h=5				
mission_triggerer_a	Schwarzer	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=5.0+l=5.0+h=5				
mission_triggerer_a	Bullet	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=5.0+l=5.0+h=5				
mission_triggerer_a	Bjxl	4	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=7.0+l=5.0+h=5.0				
mission_triggerer_a	Tailgater	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=7.0+l=5.0+h=5.0				
mission_triggerer_a	Premier	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=7.0+l=5.0+h=5.0				
mission_triggerer_a	Bison2	2	Y	Y	Y	Y	N	N	N	N	N	Y	N	N					
freemode	Kosatka	1	N	N	N	N	N	N	N	N	N	N	N	N					
launcher_racing	Seashark	1	N	N	N	N	N	N	N	Y	N	Y	N	N	w=5.0+l=5.0+h=5+no_rotors				
launcher_nigel	Speedo	4	N	N	N	N	N	N	N	N	N	N	N	N					
player_timetable_scene	Bodhi2	1	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	Y	Y					
player_timetable_scene	Buffalo2	1	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	Y	Y					
launcher_fanatic	Scorcher	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
launcher_fanatic	Tribike	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
me_jimmy1	Landstalker	4	Y	N	N	N	N	N	N	N	N	Y	N	N					
re_cartheft	Peyote	1	Y	Y	Y	Y	Y	Y	N	N	N	Y	N	N					
launcher_minute	Pranger	4	Y	Y	N	Y	Y	Y	N	N	N	Y	N	N					
re_bus_tours	Tourbus	2	Y	Y	N	Y	Y	Y	Y	N	N	Y	N	N					
re_bikethief	Bati	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
launcher_racing	Ninef	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	w=20.0+l=20.0+h=20.0				
launcher_racing	Feltzer	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	w=20.0+l=20.0+h=20.0				
re_chasethieves	Gburrito	4	Y	N	N	N	N	Y	Y	N	N	Y	N	N					
re_chasethieves	Hexer	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
re_drunkdriver	Emperor	2	Y	Y	N	Y	N	Y	N	N	N	Y	N	N					
re_drunkdriver	Baller2	4	Y	Y	N	N	N	Y	N	N	N	Y	N	N					
bailbond1	Landstalker	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
bailbond2	Bison	4	Y	N	N	N	N	Y	N	N	N	Y	N	N					
bailbond2	Bison2	4	Y	N	N	N	N	Y	N	N	N	Y	N	N					
vehicle_gen_controller	Buffalo2	1	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	N	N					
vehicle_gen_controller	Bagger	1	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	N	N					
vehicle_gen_controller	Tailgater	1	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	N	N					
vehicle_gen_controller	Bodhi2	1	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	N	N					
taxilauncher	Taxi	4	N	N	N	N	N	N	N	N	N	N	N	N					
